Domain;Projekt;VM Name;Volumename;user Name;VM or Volume user;State;Created;Virtual Size GB;Physical Size GB;Intervaltype;Revertable;Type;Tags
CIS;;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;autotestlandscape0001;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;brdev01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;CIS;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;clt01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;clt02;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;DEV01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;DMZ01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;GSS;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;Harith-test;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;itellius;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;mddev01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;mddev02;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;modev01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;play;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;play2;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;rmdev01;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;rmdev02;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;rmdev03;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
CIS;wandin;admin-cis;CIM;Admins;admins@el.dc4.local;2018-12-14T14:09:45+0100
clt;;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;autotestlandscape0001;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;brdev01;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;CIS;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;clt01;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;clt02;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;DEV01;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;DMZ01;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;GSS;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;Harith-test;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;itellius;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
clt;mddev01;admin-clt;admins;CIM;admins@dc4.local;2019-03-12T09:31:34+0100
